original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik
" Ya Allah Jika Mereka Menempuh Cara2 Curang untuk memenangkan  Si Penista Agama, engkau Kirimkanlah MALAIKAT MAUT untuk menyelesaikan  ",twitter,0,1,1,1
"yang terasa itu radikalisme semakin kuat. ISIS bhkn sudah menyerbu marawi, Filipina. Berlomba2 dirikan khilafah di RI melalui HTI, FPI",twitter,0,0,1,0
"  iya kesel udah kalah debat gua diblok lagi,     kelihatan yang tolol siapa. Kesel gedekk gua ",instagram,0,0,0,1
"  fans boleh dek tapi jangan sampe ikut merubah kodariat itu dosa dek sama aja kayak kamu gak menghargai apa yang dikasih Allah ke kamu ,padahal tampang kamu gak  jelek sayang kalo Ampe kamu kayak gitu",instagram,0,0,0,0
Ga usah tunggu lama dadamu yang DISUMPEL silikon bakal MBLEDUG karena Alloh ga suka umbar2 yang wajib ditutup.,instagram,0,0,0,0
"yuk ahh
 sange  ngewe  memek  tante  ngentot  seks  janda  seksaya   bispak  birahi  toket  puting  jilmek  sangek  seks  kontol  abg  pentil  payudara  bokep  horny  bokepsemi  bokep indo  sepong  amoy  bisaya r  lonte  jablay  crot  igo  amoy sange  panlok ",twitter,1,0,0,0
"Malam jumat waktunya bunuh semua kafir  alhamdulillah  Malam Jumat,

Yuk Semuanya (cont)  ",twitter,0,0,1,0
Menurut gua sih terserah ka lucinta luna aja ..yang penting bukan gua yang pamer2 tete..selagi  dia bahagia why not?? ,instagram,1,0,0,0
" GOBLOK LU! HASILNYA APA CUY? JANGAN BILANG GADAIIN NEGARA BUAT BAYAR HUTANG ! GOBLOK!  Hasilnya udah kelihatan buka Mata Lu goblok ...  Lagian hasil pinjaman jaman siapa ??  Goblok Lu ..   Mau ibukota pakai becak ??? Lu orang jakarta bukan ?? Goblok amat
",kaskus,0,0,0,1
"Semoga para mujahid tetap istiqomah melanjuntukan perjuangan melibas para kafirun Semakin ngelunjak gue liat ni mino  
",kaskus,0,0,1,0
" fuck you Ethan Zuckerman  yang terakhir sih yang ngeselin Ethan paling nyebelin  sialan tuh penemu pop up  Paling terakhir bikin ane  woo,..wooo,..woooo,stop it guys,.... chill out!!! dia udah minta maaf,..key niat awalnya dia baik kok ngeciptain jendela-jendela yang suka muncul tiba-tiba waktu lagi browsing walaupun kita lagi ngerjain yang penting tetap muncul juga pop up nya,... Damn,shit,....fuck you ethan !!!    
",kaskus,0,0,0,1
" yang penting agama coy..kalau agama kuat insaya Allah semua baik2 aja..  Jangan mau diboongin agama bray...  nikah itu yang paling penting kepribadian dan kejujuran, agama nomor sekian...  lu dapet istri yang berjilbab atau maksa istri lu berjilbab, emang ada jaminan istri lu gak kasar, gak membangka nggak selingkuh, gak nipu, gak berbuat kriminal, gak meleduk kayak teroris...?   
",kaskus,0,1,1,0
"masuknya agama Kristen ternyata gak ngubah masyarakat  papua ke arah yang lebih baik. ajarannya cuma ngemeng kasih kasih kasih doang sih  
",kaskus,0,0,0,0
Aku ga pernah kayak gitu kan anak baik2    pengen ngewe ama seseorang temannya...siapakah dia?? hmmm pervert  ...,twitter,1,0,0,0
Anuku rusak si sepong lonte  Sirsak si jambu mente  Kontol ku rusak di goyang ,twitter,1,0,0,0
"kalo dalam Islam..emang yang menghancurkan Islam kan orang Islam sendiri..  begini nih kalau Ngaku Muslim tapi menjelekkan muslim yang lain..akhirnya Allah SWT membukakan aib dan dosa mereka sendiri !!  AZAB   2019 Ganti Presiden         GANTINE SOPO ??
",kaskus,0,0,0,0
 yang kaya gini mendidik?  Tolong kondisikan artis  yang udah jelas punya bakat aja pakaiannya gak gini ga akan berani kalo pakaiannya begini lah ini macem lonte gak mendidik,instagram,0,0,0,1
