original_text,source,pornografi,sara,radikalisme,pencemaran_nama_baik
USIR KAUM KAFIR CINA BUDDHA DARI MEMASUKI KAWASAN DATUK KERAMAT. USIR MEREKA. KELAK MEREKA BAWA MASUK BABI...MAKANAN KESUKAAN MEREKA.,twitter,0,1,0,1
"Baahhh cerita dongeng fiksi ala tapir babi.   Naga fiksi melawan raja langit, dikencingin siluman monyet.  Pembodohan ini.   Serasa dengerin dongeng binatang sebelum tidur.   Yang berbobot dikit bisa nggak cuk kalau bikin thread.  
",kaskus,0,0,0,1
"Kalau cina sampai di GANYANG habis ""5 parpol bubar pasti bubar ""tutup disegel oleh rakyat"" mau lari kemana kalian semuanya ""toleransi""",twitter,0,1,1,1
"  Ya bukan di italy aja, di institusi agama kristen dikebanyakan negara maju, mereka hampir sama dengan peran peran volunteerism dan foundation, lagian agama di Indonesia dan tokohnya hanya dipake untuk ritual lima tahunan aja, kan jadi mereduksi makna",twitter,0,0,0,0
"    permintaan maaf si kunyuk ini ga ada artinya, otaknya tetep aja nyinyir'",twitter,0,0,0,1
      yang ngomong gitu siapa? yang harus  lo tanya itu kenapa gandeng 4 bank asing? Bukannya melakukan langkah hukum untuk menggugat peraturan yang mengistimewakan Freeport?',twitter,0,0,0,0
Nah loh. Masih menyebut Jokowi Antek Asing?. Ckckc',twitter,0,0,0,1
Ade Armando Dipolisikan soal Postingan 'Azan Tidak Suci',twitter,0,0,0,0
FIFA siasat isu `suara monyet' aksi Perancis-Russia URL,twitter,0,0,0,0
  ya angkot lebih goblog',twitter,0,0,0,1
